realSum,room_type,person_capacity,business,cleanliness_rating,guest_satisfaction_overall,bedrooms
405.6429123801936,Private,4,0,10.0,90.0,1
400.4874276474586,Private,2,1,10.0,94.0,0
307.22002202798024,Private,2,0,10.0,99.0,1
688.0228716049962,Private,4,0,10.0,100.0,2
648.8880556792352,Apartment,2,0,10.0,100.0,1
331.8257446160336,Apartment,2,0,10.0,98.0,0
420.4063459330256,Apartment,2,0,9.0,94.0,0
774.2600707707451,Apartment,2,0,10.0,96.0,1
1126.942094532843,Apartment,4,0,8.0,90.0,2
208.7971316757669,Private,2,0,8.0,88.0,1
522.3443395121037,Private,4,0,10.0,96.0,2
448.5271717479437,Private,2,0,9.0,95.0,1
204.1103273732805,Private,2,0,10.0,94.0,1
442.66866636983576,Private,2,0,9.0,88.0,1
325.498558807677,Private,2,0,10.0,95.0,1
1351.9087010521878,Apartment,4,0,9.0,97.0,2
583.9758160897992,Apartment,4,0,10.0,100.0,2
614.4400440559605,Apartment,4,0,9.0,98.0,3
279.09919621306216,Private,4,0,9.0,93.0,1
345.1831368781197,Private,2,0,10.0,94.0,1
245.82288566540907,Private,4,0,10.0,99.0,0
522.3443395121037,Apartment,3,0,10.0,97.0,2
303.4705785859912,Private,4,0,5.0,80.0,0
798.8657933587983,Apartment,5,1,9.0,95.0,3
654.9809012724675,Private,2,0,10.0,96.0,1
277.45881470719195,Private,2,0,10.0,98.0,1
498.910317999672,Private,4,0,10.0,96.0,2
491.64577133081815,Apartment,4,0,10.0,94.0,2
442.4343261547114,Private,2,0,10.0,96.0,1
202.70428608253465,Private,2,0,10.0,98.0,1
258.0085768518736,Shared,3,0,10.0,98.0,1
245.82288566540907,Private,2,0,10.0,96.0,1
669.7443348252995,Apartment,4,0,9.0,88.0,2
453.4483162655544,Apartment,2,1,9.0,85.0,1
706.5357485998172,Apartment,4,0,9.0,89.0,3
1038.361493215851,Apartment,4,0,9.0,99.0,2
2500.8787758067165,Apartment,4,0,9.0,100.0,1
399.5500667869613,Private,2,1,9.0,88.0,0
407.9863145314368,Private,2,1,9.0,82.0,0
407.9863145314368,Private,2,1,8.0,78.0,0
319.40571321444475,Private,2,0,9.0,96.0,1
817.1443301384951,Apartment,4,0,10.0,100.0,3
792.7729477655661,Apartment,6,0,9.0,92.0,3
274.1780516954515,Private,2,0,9.0,90.0,1
774.2600707707451,Apartment,2,0,9.0,93.0,1
221.2171630773557,Private,2,0,10.0,100.0,1
436.3414805614792,Private,2,1,9.0,90.0,0
974.6209547020364,Apartment,3,0,10.0,95.0,1
1044.6886790242074,Apartment,5,0,9.0,96.0,3
